dateSeen,brand,name,categories,prices_before,prices_after,prices_disc,availability,views
04/06/19 08:00,Brinley Co.,Women's Slouchy Buckle Detail Boots,Boots,51.09,34.99,31.51%,TRUE,1
04/06/19 06:00,Minnetonka,women's minnetonka leopard kilty moc,Flats,39.21,32.95,15.97%,TRUE,30
04/07/19 08:00,Brinley Co.,Women's Round Toe Buckle Detail Boots,Boots,64.38,39.99,37.88%,TRUE,21
04/07/19 08:00,Brinley Co.,Brinley Co. Women's Almond Toe Flats,Flats,36.99,24.99,32.44%,TRUE,37
04/07/19 08:00,Propet,Women's Propet VISTA STRAP Oxfords TAUPE 9.5 D,Loafers & Oxfords,96.91,95.95,0.99%,FALSE,19
04/07/19 08:00,Propet,Propet Wash Wear Slip-on - Casual - Women's - Black,NA,65.92,65.27,0.99%,TRUE,102
04/07/19 08:00,Easy-Street,Easy Street Natara Women WW Open-Toe Synthetic Blue Slingback Sandal,Sandals & Slippers,47.13,38.63,18.04%,TRUE,100
04/07/19 08:00,Propet,Women's Propet Corinne XT,Sandals & Slippers,46.41,45.95,0.99%,TRUE,4
04/07/19 08:00,White Mountain,White Mountain 'MANDOLIN' Women's Leather Sandal,Sandals & Slippers,38.38,38,0.99%,FALSE,2
04/07/19 08:00,Propet,Women's Propet TravelLite,Sneakers,46.41,45.95,0.99%,FALSE,69
04/07/19 08:00,Propet,Women's Propet Adventure,Sneakers,46.41,45.95,0.99%,TRUE,2
04/07/19 08:00,Propet,Women's Propet Breeze Walker,Sneakers,61.49,48.04,21.87%,TRUE,169
04/09/19 07:00,Ellie Shoes,"106-AVENGE, 1'' Heel Boot",Boots,53.53,53,0.99%,TRUE,1
04/09/19 07:00,Ellie Shoes,Womens Avenge Red Superhero Costume Boots,Boots,38.22,37.84,0.99%,TRUE,1
04/09/19 09:00,Brinley Co.,Women's Pointed Toe Ankle Wrap T-strap D'orsay Flats,Flats,37.25,26.99,27.54%,TRUE,43
04/09/19 09:00,Brinley Co.,Womens Stacked Wood Heel Crossover Ankle Strap D'orsay Dress Flats,Flats,31.52,19.95,36.71%,TRUE,42
04/09/19 09:00,Brinley Co.,Womens Crossover Pointed Toe Ankle Strap Flats,Flats,28.27,27.99,0.99%,TRUE,1
04/09/19 09:00,Brinley Co.,Womens Pointed Toe Strappy Gladiator Flats,Flats,32.12,19.95,37.89%,TRUE,43
04/09/19 09:00,Brinley Co.,Brinley Co. Womens D'Orsay Flat,Flats,43.55,32.99,24.25%,TRUE,41
04/09/19 09:00,Brinley Co.,Brinley Co. Women's Almond Toe Flats,Flats,36.99,24.99,32.44%,TRUE,37
04/09/19 09:00,Brinley Co.,Brinley Co. Women's Cut-out Pointed Toe Fashion Flats,Flats,36.99,24.99,32.44%,TRUE,47
04/09/19 11:00,Minnetonka,Women's Chesney Scuff,Sandals & Slippers,40.35,39.95,0.99%,TRUE,23
04/09/19 12:00,Minnetonka,women's minnetonka 3 layer fringe boot,Boots,98.93,97.95,0.99%,TRUE,1
